#name  lambda_eff  filter_id  fit?
u      0.355       254        1
g      0.475       255        1
F606W  0.5956      215        1
r      0.640       256        1
i      0.776       257        1
F814W  0.8087      126        1
z      0.925       258        1
F125W  1.2486      328        1
j1     1.047       259        1
j2     1.195       260        1
j3     1.279       261        1
j      1.253       277        1
F140W  1.3923      329        1
h1     1.560       262        1
h2     1.708       263        1
h      1.631       278        1
F160W  1.5369      330        1
k      2.146       264        1
ks     2.2         279        1
IRAC1  3.55        153        1
IRAC2  4.493       154        1
IRAC3  5.731       155        1
IRAC4  7.872       156        1
