#name   lambda_eff  filter_id  fit?
u       0.3823      254        1
b       0.4460      164        1
g       0.4877      255        1
v       0.5483      165        1
f606w   0.5956      215        1
r       0.623       256        1
rp      0.6213      166        1
i       0.7618      257        1
ip      0.7640      167        1
f814w   0.8073      126        1
z       0.925       258        1
zp      0.8855      168        1
VISTAY  1.0213      319        1
f125w   1.2501      328        1
j1      1.047       259        1
j2      1.195       260        1
j3      1.279       261        1
j       1.253       277        1
VISTAJ  1.2525      320        1
f140w   1.3971      329        1
h1      1.560       262        1
h2      1.708       263        1
H       1.631       278        1
VISTAH  1.6433      321        1
f160w   1.5418      330        1
k       2.159       264        1
ks      2.159       279        1
VISTAKs 2.1503      322        1
irac1   3.55        153        1
irac2   4.493       154        1
irac3   5.731       155        1
irac4   7.872       156        1
