#name  lambda_eff  filter_id  fit?
u      0.350       210        1
F435W  0.435       214        1
B      0.450       150        1
g      0.400       116        0
V      0.550       151        1
F606W  0.5962      215        1
r      0.650       152        1
rs     0.6500      117        0
i      0.700       152        0
F775W  0.775       216        1
z      0.90        420        1
F850LP 0.850       217        1
F125W  1.2501      328        1
j      1.25        284        1
F140W  1.3971      329        1
h      1.40        285        1
F160W  1.5418      330        1
ks     2.15        286        1
irac1  3.55        153        1
irac2  4.493       154        1
irac3  5.731       155        1
irac4  7.872       156        1
