#name   lambda_eff  filter_id  fit?
u38     0.3800      249        1
u       0.3800      363        1
F435W   0.435       214        1
b       0.450       250        1
v       0.550       251        1
F606WC  0.5962      94         1
F606W   0.5962      215        1
r       0.600       364        1
rc      0.65        252        1
F775W   0.775       216        1
i       0.9         253        1
F814W   0.807       126        1
F850LP  0.850       402        1
F850LPc 0.850       402        1
F125W   1.2501      328        1
j       1.25        211        1
tennisj 1.25        277        1
F140W   1.397       329        1
h       1.40        212        1
F160W   1.5418      330        1
tenisk  2.13        279        1
ks      2.1         213        1
irac1   3.55        153        1
irac2   4.493       154        1
irac3   5.731       155        1
irac4   7.872       156        1
