#name  lambda_eff  filter_id  fit?
u      0.375       254        1
B      0.4458      164        1
V      0.5478      165        1
F606W  0.5962      215        1
r      0.6289      166        1
i      0.7684      167        1
F814W  0.8073      126        1
z      0.904       168        1
F125W  1.2501      328        1
j      1.25        235        1
F140W  1.3971      329        1
h      1.40        236        1
F160W  1.5418      330        1
ks     2.15        237        1
irac1  3.55        153        1
irac2  4.493       154        1
irac3  5.731       155        1
irac4  7.872       156        1
