#name		lambda_eff	filter_id	fit?
FUV		    0.152		46		1
NUV		    0.231		47		1
u		    0.3798		75		1
B		    0.445		76		0
V		    0.551		77		0
g		    0.4780		78		1
r		    0.6295		79		1
i		    0.7641		80		1
z		    0.9037		81		1
Y		    1.02		158		1
J		    1.25		159		1
H		    1.64		160		1
K		    2.15		161		1
IRAC1		3.56		28		1
IRAC2		4.51		29		1
IRAC3		5.76		30		1
IRAC4		8.00		31		1
MIPS24		24.	    	32		1
MIPS70		70.	    	33		1
PACS100		100.		51		1
PACS160		160.		52		1
SPIRE250	250.		42		1
SPIRE350	350.		43		1
SPIRE500	500.		44		1
