

#name     lambda_eff  filter_id   fit?
FUV       0.152       123         1
NUV       0.231       124         1
u         0.3798      141         1
B         0.445       164         1
V         0.551       165         1
g         0.4780      142         1
r         0.6295      143         1
i         0.7641      144         1
z         0.9037      145         1
Y         1.02        319         1
J         1.25        320         1
H         1.64        321         1
K         2.15        322         1
IRAC1     3.56        153         1
IRAC2     4.51        154         1
IRAC3     5.76        155         1
IRAC4     8.00        156         1
MIPS24    24.         157         1
MIPS70    70.         158         1
PACS100   100.        442         1
PACS160   160.        443         1
SPIRE250  250.        444         1
SPIRE350  350.        445         1
SPIRE500  500.        446         1
